Season,Stage,Week,MatchID,Date,Gamemode,Map,Player,Team,OpponentTeam,Result,TeamScore,OpponentScore,Kills,Deaths,Assists,NonTradedKills,HighestStreak,Damage,Plants,Defuses,FirstBloods,FirstDeaths,KillsPerRound,DmgPerRound,Time,Defends,KDR
Season 1,,Week 1,S1-1-1,,SND,,Liam,Whining Bitches,Team Ham,W,6,2,11,3,0,7,10,1450,0,2,1,1,1.37,181.25,,,3.67
Season 1,,Week 1,S1-1-1,,SND,,Alex,Whining Bitches,Team Ham,W,6,2,4,5,2,2,3,477,0,1,1,4,0.50,59.62,,,0.8
Season 1,,Week 1,S1-1-1,,SND,,Conor,Whining Bitches,Team Ham,W,6,2,4,4,0,3,2,414,2,0,1,0,0.50,51.75,,,1.0
Season 1,,Week 1,S1-1-1,,SND,,Michael,Team Ham,Whining Bitches,L,2,6,6,6,0,5,3,695,1,0,4,2,0.75,86.87,,,1.0
Season 1,,Week 1,S1-1-1,,SND,,Andrew,Team Ham,Whining Bitches,L,2,6,5,6,1,3,3,744,1,0,1,1,0.62,93.00,,,0.83
Season 1,,Week 1,S1-1-1,,SND,,Harry,Team Ham,Whining Bitches,L,2,6,1,7,0,1,1,451,1,0,0,0,0.12,56.37,,,0.14
Season 1,,Week 1,S1-1-2,,SND,,Harry,Team Ham,Whining Bitches,L,4,6,6,8,1,5,1,700,0,0,2,0,0.45,51.45,,,0.75
Season 1,,Week 1,S1-1-2,,SND,,Michael,Team Ham,Whining Bitches,L,4,6,8,6,1,5,3,926,1,0,2,1,0.54,64.00,,,1.33
Season 1,,Week 1,S1-1-2,,SND,,Andrew,Team Ham,Whining Bitches,L,4,6,6,7,0,2,4,750,0,0,4,3,0.45,53.63,,,0.86
Season 1,,Week 1,S1-1-2,,SND,,Liam,Whining Bitches,Team Ham,W,6,4,8,6,2,7,4,1086,1,0,0,1,0.70,98.72,,,1.33
Season 1,,Week 1,S1-1-2,,SND,,Conor,Whining Bitches,Team Ham,W,6,4,8,7,1,2,4,1000,2,0,1,2,0.60,77.45,,,1.14
Season 1,,Week 1,S1-1-2,,SND,,Alex,Whining Bitches,Team Ham,W,6,4,4,9,0,3,3,600,0,0,2,6,0.27,37.63,,,0.44
Season 1,,Week 1,S1-2-1,,SND,,Harry,Team Ham,Rush B,L,2,6,5,7,,,,,1,0,,,,,,,0.71
Season 1,,Week 1,S1-2-1,,SND,,Andrew,Team Ham,Rush B,L,2,6,5,6,,,,,0,0,,,,,,,0.83
Season 1,,Week 1,S1-2-1,,SND,,Lawrence,Team Ham,Rush B,L,2,6,3,6,,,,,0,0,,,,,,,0.5
Season 1,,Week 1,S1-2-1,,SND,,Joe,Rush B,Team Ham,W,6,2,8,4,,,,,2,1,,,,,,,2.0
Season 1,,Week 1,S1-2-1,,SND,,Iestyn,Rush B,Team Ham,W,6,2,6,4,,,,,0,0,,,,,,,1.5
Season 1,,Week 1,S1-2-1,,SND,,Jamie,Rush B,Team Ham,W,6,2,6,3,,,,,0,0,,,,,,,2.0
Season 1,,Week 1,S1-2-2,,SND,,Andrew,Team Ham,Rush B,L,5,6,9,7,,,,,0,0,,,,,,,1.29
Season 1,,Week 1,S1-2-2,,SND,,Harry,Team Ham,Rush B,L,5,6,8,7,,,,,2,0,,,,,,,1.14
Season 1,,Week 1,S1-2-2,,SND,,Lawrence,Team Ham,Rush B,L,5,6,5,7,,,,,2,1,,,,,,,0.71
Season 1,,Week 1,S1-2-2,,SND,,Joe,Rush B,Team Ham,W,6,5,11,6,,,,,2,2,,,,,,,1.83
Season 1,,Week 1,S1-2-2,,SND,,Jamie,Rush B,Team Ham,W,6,5,9,8,,,,,0,1,,,,,,,1.12
Season 1,,Week 1,S1-2-2,,SND,,Iestyn,Rush B,Team Ham,W,6,5,1,8,,,,,0,0,,,,,,,0.12
Season 1,,Week 1,S1-3-1,,SND,,Joe,Rush B,Whining Bitches,W,6,0,5,4,3,2,3,548,3,0,1,1,0.83,91.33,,,1.25
Season 1,,Week 1,S1-3-1,,SND,,Jamie,Rush B,Whining Bitches,W,6,0,7,4,1,5,2,1006,0,0,1,0,1.16,167.66,,,1.75
Season 1,,Week 1,S1-3-1,,SND,,Iestyn,Rush B,Whining Bitches,W,6,0,6,1,3,5,4,642,0,0,2,1,1.00,107.00,,,6.0
Season 1,,Week 1,S1-3-1,,SND,,Liam,Whining Bitches,Rush B,L,0,6,4,6,0,2,1,646,0,0,2,0,0.66,107.66,,,0.67
Season 1,,Week 1,S1-3-1,,SND,,Alex,Whining Bitches,Rush B,L,0,6,2,6,1,0,1,341,0,0,0,1,0.33,56.83,,,0.33
Season 1,,Week 1,S1-3-1,,SND,,Conor,Whining Bitches,Rush B,L,0,6,3,6,0,2,2,458,0,0,0,3,0.50,76.33,,,0.5
Season 1,,Week 1,S1-3-2,,SND,,Liam,Whining Bitches,Rush B,W,6,4,13,4,0,8,3,1523,4,0,2,0,1.30,152.30,,,3.25
Season 1,,Week 1,S1-3-2,,SND,,Alex,Whining Bitches,Rush B,W,6,4,5,7,0,4,2,649,1,0,1,4,0.50,64.90,,,0.71
Season 1,,Week 1,S1-3-2,,SND,,Conor,Whining Bitches,Rush B,W,6,4,5,9,0,3,2,794,0,0,2,1,0.50,79.40,,,0.56
Season 1,,Week 1,S1-3-2,,SND,,Joe,Rush B,Whining Bitches,L,4,6,11,7,1,7,3,1231,3,1,5,2,1.10,123.10,,,1.57
Season 1,,Week 1,S1-3-2,,SND,,Jamie,Rush B,Whining Bitches,L,4,6,4,8,2,2,2,651,0,0,0,2,0.40,65.10,,,0.5
Season 1,,Week 1,S1-3-2,,SND,,Iestyn,Rush B,Whining Bitches,L,4,6,6,10,1,4,2,636,0,0,0,1,0.50,63.60,,,0.6
Season 1,,Week 1,S1-3-3,,SND,,Conor,Whining Bitches,Rush B,L,4,6,0,8,3,0,0,386,3,0,0,4,0.00,38.59,,,0.0
Season 1,,Week 1,S1-3-3,,SND,,Liam,Whining Bitches,Rush B,L,4,6,14,6,1,9,7,1494,0,1,2,0,1.40,149.39,,,2.33
Season 1,,Week 1,S1-3-3,,SND,,Alex,Whining Bitches,Rush B,L,4,6,4,10,2,4,1,918,0,0,1,3,0.40,91.80,,,0.4
Season 1,,Week 1,S1-3-3,,SND,,Joe,Rush B,Whining Bitches,W,6,4,10,7,2,7,4,1076,3,0,5,2,1.00,107.60,,,1.43
Season 1,,Week 1,S1-3-3,,SND,,Jamie,Rush B,Whining Bitches,W,6,4,11,6,1,7,6,1188,2,0,0,0,1.10,118.80,,,1.83
