name,value,rarity,weight,image,desc
Porsche 968 Turbo S 1993,520000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/2/25/FH6_Porsche_968_Turbo_S.png/revision/latest?cb=20260516180913,
Dodge Challenger R/T 1970,525000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/9/94/FH6_Dodge_Challenger_RT.png/revision/latest/scale-to-width-down/1200?cb=20260516173049,
Formula Drift #117 599 GTB Fiorano 2007,525000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/1/18/FH6_Formula_Drift_117_599_GTB_Fiorano.png/revision/latest/scale-to-width-down/1200?cb=20260516174018,
Jaguar XJ220S TWR 1993,540000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/c/c8/FH6_Jaguar_XJ220S_TWR.png/revision/latest/scale-to-width-down/1200?cb=20260516174827,
Dodge Charger Daytona HEMI 1969,541000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/9/90/FH6_Dodge_Charger_Daytona_HEMI.png/revision/latest/scale-to-width-down/1200?cb=20260516173315,
Porsche 911 GT2 RS 2018,550000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/3e/FH6_Porsche_911_GT2_RS_2017.png/revision/latest/scale-to-width-down/1200?cb=20260516180855,
Jaguar XJ220 1993,570000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/9/9a/FH6_Jaguar_XJ220.png/revision/latest/scale-to-width-down/1200?cb=20260516174826,
Nissan #32 Skyline WTAC 'Xtreme GTR' 1993,570000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/b/bf/FH6_Nissan_32_WTAC_Xtreme_GTR.png/revision/latest/scale-to-width-down/1200?cb=20260516180422,
Ferrari SF90 Stradale 2020,575000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/1/1a/FH6_Ferrari_SF90_Stradale.png/revision/latest/scale-to-width-down/1200?cb=20260516173413,
Ford GT 2005,585000,TREASURE,1,https://static.wikia.nocookie.net/forzamotorsport/images/f/f2/FH6_Ford_GT_2005.png/revision/latest/scale-to-width-down/1200?cb=20260516173946,
BMW M1 1981,600000,TREASURE,1,https://static.wikia.nocookie.net/forzamotorsport/images/8/86/FH6_BMW_M1.png/revision/latest/scale-to-width-down/1200?cb=20260516172621,
Honda NSX-R GT 2005,600000,BARN FIND,1,https://static.wikia.nocookie.net/forzamotorsport/images/4/41/FH6_Honda_NSX-R_GT.png/revision/latest/scale-to-width-down/1200?cb=20260516175040,
Lamborghini Countach LP5000,600000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/2/23/FH6_Lamborghini_Countach_LP5000_QV.png/revision/latest/scale-to-width-down/1200?cb=20260516175104,
Lancia 037 Stradale 1982,600000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/7/7e/FH6_Lancia_037_Stradale.png/revision/latest/scale-to-width-down/1200?cb=20260713205822,
Nissan #23 Pennzoil NISMO Skyline GT-R 1998,600000,BARN FIND,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/39/FH6_Nissan_23_Pennzoil_NISMO_Skyline_GT-R.png/revision/latest/scale-to-width-down/1200?cb=20260516180420,
Porsche 911 Turbo S Leichtbau 1993,600000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/0/0e/FH6_Porsche_911_Turbo_S_Leichtbau.png/revision/latest?cb=20260516180907,
Audi Sport quattro 1983,650000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/2/28/FH6_Audi_Sport_quattro.png/revision/latest/scale-to-width-down/1200?cb=20260516172612,
Lamborghini Diablo GTR 1999,680000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/6/65/FH6_Lamborghini_Diablo_GTR.png/revision/latest/scale-to-width-down/1200?cb=20260516175106,
Lancia Stratos HF Stradale 1974,680000,TREASURE,1,https://static.wikia.nocookie.net/forzamotorsport/images/6/66/FH6_Lancia_Stratos_HF_Stradale.png/revision/latest?cb=20260516175328,
Ferrari 488 Pista 2019,716000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/0/0e/FH6_Ferrari_488_Pista.png/revision/latest/scale-to-width-down/1200?cb=20260516173343,
Audi #2 Audi Sport quattro S1 1986,750000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/5/56/FH6_Audi_2_Audi_Sport_quattro_S1.png/revision/latest/scale-to-width-down/1200?cb=20260516171753,
Mercedes-Benz 190E 2.5-16 Evolution II Forza Edition 1990,750000,FORZA EDITION,1,https://static.wikia.nocookie.net/forzamotorsport/images/6/62/FH6_Mercedes-Benz_190E_2.5-16_Evolution_II_Forza_Edition.png/revision/latest/scale-to-width-down/1200?cb=20260516175604,
Nissan GT-R Black Edition (R35) Forza Edition 2012,750000,FORZA EDITION,1,https://static.wikia.nocookie.net/forzamotorsport/images/6/6a/FH6_Nissan_GT-R_Black_Edition_R35_Forza_Edition.png/revision/latest?cb=20260516180622,
Subaru Vivio RX-R Forza Edition 1994,750000,FORZA EDITION,1,https://static.wikia.nocookie.net/forzamotorsport/images/f/f7/FH6_Subaru_Vivio_RX-R_Forza_Edition.png/revision/latest/scale-to-width-down/1200?cb=20260516181415,
