name,value,rarity,weight,image,desc
Wuling Sunshine S 2013,2000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/b/b8/FH6_Abarth_124_Spider.png/revision/latest?cb=20260713205812,
Wuling Hongguang Mini EV 2022,5000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/5/5a/FH6_Abarth_695_Biposto.png/revision/latest/scale-to-width-down/1200?cb=20260516171719,
Honda City E II 1984,7500,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/33/FH6_Abarth_Fiat_131.png/revision/latest/scale-to-width-down/1200?cb=20260516171720,
Honda Acty 1994,9000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/e/e1/FH6_Abarth_595_esseesse.png/revision/latest/scale-to-width-down/1200?cb=20260516171717,
Honda Civic Si 1986,10000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/1/10/FH6_Acura_Integra_A-Spec.png/revision/latest/scale-to-width-down/1200?cb=20260511233047,
Subaru LEGACY B4 2.0 GT 2005,10000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/d/d9/FH6_Acura_RSX_Type-S.png/revision/latest/scale-to-width-down/1200?cb=20260516171723,
Subaru Vivio RX-R 1994,10000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/d/d7/FH6_Subaru_Vivio_RX-R.png/revision/latest/scale-to-width-down/1200?cb=20260516181416,
Toyota Crown Super Deluxe Taxi 2005,10000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/4/40/FH6_Acura_Integra_Type-R.png/revision/latest/scale-to-width-down/1200?cb=20260516171721,
Toyota Sera 1991,11000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/8/8f/FH6_Alfa_Romeo_Giulia_GTAm.png/revision/latest?cb=20260713205813,
Nissan PAO 1989,12000,BARN FIND,1,https://static.wikia.nocookie.net/forzamotorsport/images/4/43/FH6_Nissan_PAO.png/revision/latest?cb=20260516180632,
Toyota Celica Sport Specialty II 2003,12000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/e/eb/FH6_Toyota_Celica_Sport_Specialty_II.png/revision/latest/scale-to-width-down/1200?cb=20260516181454,
Subaru SVX 1996,13000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/7/70/FH6_Subaru_SVX.png/revision/latest/scale-to-width-down/1200?cb=20260516181414,
Honda Civic RS 1974,14000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/0/04/FH6_Honda_Civic_RS.png/revision/latest/scale-to-width-down/1200?cb=20260516174751,
Renault Megane RS 250 2010,14000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/4/46/FH6_Renault_Megane_R.S._250.png/revision/latest/scale-to-width-down/1200?cb=20260516181144,
