name,value,rarity,weight,image,desc
Hennessey Venom F5 2021,2050000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/4/4d/FH6_Hennessey_Venom_F5.png/revision/latest/scale-to-width-down/1200?cb=20260516174742,
Lamborghini Countach LPI 800-4 2021,2100000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/4/46/FH6_Lamborghini_Countach_LPI_800-4.png/revision/latest/scale-to-width-down/1200?cb=20260516175105,
Rimac Nevera 2021,2250000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/9/91/FH6_Rimac_Nevera.png/revision/latest?cb=20260516181148,
Aston Martin Vulcan 2016,2300000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/e/e5/FH6_Aston_Martin_Vulcan.png/revision/latest/scale-to-width-down/1200?cb=20260516171752,
Porsche 918 Spyder 2014,2300000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/d/de/FH6_Porsche_918_Spyder.png/revision/latest?cb=20260516180908,
Lotus Evija 2020,2450000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/a/a9/FH6_Lotus_Evija.png/revision/latest/scale-to-width-down/1200?cb=20260516175343,
Ferrari FXX 2005,2500000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/1/1d/FH6_Ferrari_FXX.png/revision/latest/scale-to-width-down/1200?cb=20260516173401,
Ferrari J50 2017,2500000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/9/91/FH6_Ferrari_J50.png/revision/latest/scale-to-width-down/1200?cb=20260516173908,
Ferrari Monza SP2 2019,2500000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/4/44/FH6_Ferrari_Monza_SP2.png/revision/latest/scale-to-width-down/1200?cb=20260516173911,
Lamborghini Sesto Elemento 2011,2500000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/c/cb/FH6_Lamborghini_Sesto_Elemento.png/revision/latest/scale-to-width-down/1200?cb=20260516175120,
Lamborghini Sián Roadster 2020,2500000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/5/50/FH6_Lamborghini_Sian_Roadster.png/revision/latest/scale-to-width-down/1200?cb=20260516175121,
Koenigsegg Regera 2016,2550000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/7/7b/FH6_Koenigsegg_Regera.png/revision/latest/scale-to-width-down/1200?cb=20260516175057,
