name,value,rarity,weight,image,desc
Maserati Ghibli Cup 1997,102000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/1/19/FH6_Maserati_Ghibli_Cup.png/revision/latest/scale-to-width-down/1200?cb=20260516175347,
Toyota FJ40 1979,103000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/b/b7/FH6_Toyota_FJ40.png/revision/latest/scale-to-width-down/1200?cb=20260516181437,
McLaren 12C Coupé 2011,105000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/8/8e/FH6_McLaren_12C_Coupe.png/revision/latest/scale-to-width-down/1200?cb=20260516175538,
Ford F-150 Raptor R 2023,110000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/a/a3/FH6_Ford_F-150_Raptor_R.png/revision/latest/scale-to-width-down/1200?cb=20260516173930,
Lancia Delta HF Integrale Evo 1992,110000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/f/ff/FH6_Lancia_Delta_HF_Integrale_Evo.png/revision/latest/scale-to-width-down/1200?cb=20260516175326,
Chevrolet Corvette E-Ray 2024,114000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/3f/FH6_Chevrolet_Corvette_E-Ray.png/revision/latest/scale-to-width-down/1200?cb=20260516172718,
Dodge Viper SRT-10 ACR 2008,115000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/9/99/FH6_Dodge_Viper_SRT10_ACR.png/revision/latest/scale-to-width-down/1200?cb=20260516173107,
Nissan GT-R (R35) 2017,115000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/2/24/FH6_Nissan_GT-R_R35.png/revision/latest/scale-to-width-down/1200?cb=20260516180629,
TVR Sagaris 2005,115000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/a/a8/FH6_TVR_Sagaris.png/revision/latest?cb=20260516181617,
Ford Mustang GT 2+2 Fastback 1968,119000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/2/23/FH6_Ford_Mustang_GT_2%2B2_Fastback.png/revision/latest/scale-to-width-down/1200?cb=20260516174716,
Mercedes-AMG SL 63 2021,120000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/32/FH6_Mercedes-AMG_SL_63.png/revision/latest/scale-to-width-down/1200?cb=20260516175601,
Mercedes-Benz G 65 AMG 2013,120000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/9/94/FH6_Mercedes-Benz_G_65_AMG.png/revision/latest/scale-to-width-down/1200?cb=20260516175616,
Nissan Skyline GT-R 40th Anniversary 1998,120000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/8/8e/FH6_Nissan_Skyline_GT-R_40th_Anniversary.png/revision/latest/scale-to-width-down/1200?cb=20260516180645,
RJ Anderson #37 Polaris RZR Pro 2 Truck 2016,120000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/b/b3/FH6_RJ_Anderson_37_Polaris_RZR-Rockstar_Energy_Pro_2_Truck.png/revision/latest/scale-to-width-down/1200?cb=20260516181151,
Abarth Fiat 131 1980,125000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/33/FH6_Abarth_Fiat_131.png/revision/latest/scale-to-width-down/1200?cb=20260516171720,
BMW M4 GTS 2016,125000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/3d/FH6_BMW_M4_GTS.png/revision/latest/scale-to-width-down/1200?cb=20260516172639,
Chevrolet Corvette ZR1 2009,125000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/a/a8/FH6_Chevrolet_Corvette_ZR1_2009.png/revision/latest/scale-to-width-down/1200?cb=20260516172727,
Ford Mustang Shelby GT500 2020,125000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/f/f8/FH6_Ford_Mustang_Shelby_GT500_2020.png/revision/latest/scale-to-width-down/1200?cb=20260516174723,
Plymouth Cuda 426 HEMI 1971,125000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/3a/FH6_Plymouth_Cuda_426_HEMI.png/revision/latest/scale-to-width-down/1200?cb=20260516180835,
BMW 2002,127000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/b/bd/FH6_BMW_2002_Turbo.png/revision/latest/scale-to-width-down/1200?cb=20260516172616,
McLaren 570S Coupé 2015,130000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/4/42/FH6_McLaren_570S_Coupe.png/revision/latest/scale-to-width-down/1200?cb=20260516175540,
McLaren 650S Spider 2014,130000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/2/20/FH6_McLaren_650S_Spider.png/revision/latest/scale-to-width-down/1200?cb=20260516175543,
BMW 850CSi 1995,135000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/9/94/FH6_BMW_850CSi.png/revision/latest/scale-to-width-down/1200?cb=20260516172615,
Chevrolet Corvette Stingray 427 1967,135000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/0/04/FH6_Chevrolet_Corvette_Stingray_427.png/revision/latest/scale-to-width-down/1200?cb=20260516172719,
Porsche 911 GT3 2004,135000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/2/25/FH6_Porsche_911_GT3_2004.png/revision/latest?cb=20260516180856,
SRT Viper GTS 2013,135000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/5/52/FH6_SRT_Viper_GTS.png/revision/latest?cb=20260516181200,
BMW X6 M Competition 2024,140000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/30/FH6_BMW_X6_M_Competition.png/revision/latest/scale-to-width-down/1200?cb=20260513192836,
Chevrolet 150 Utility Sedan 1955,140000,COMMON,1,https://static.wikia.nocookie.net/forzamotorsport/images/6/67/FH6_Chevrolet_Corvette_Z06_2002.png/revision/latest/scale-to-width-down/1200?cb=20260516172721,
Renault 5 Turbo 1980,143000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/5/51/FH6_Renault_5_Turbo.png/revision/latest/scale-to-width-down/1200?cb=20260516181142,
Porsche 911 Carrera S 2019,145000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/0/08/FH6_Porsche_911_Carrera_S.png/revision/latest/scale-to-width-down/1200?cb=20260516180849,
Radical RXC Turbo 2015,147000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/f/fa/FH6_Radical_RXC_Turbo.png/revision/latest?cb=20260516181137,
BMW M4 Competition Coupé 'Welcome Pack' 2021,150000,LEGENDARY,1,https://static.wikia.nocookie.net/forzamotorsport/images/7/79/FH6_BMW_M4_Competition_Coupe_Welcome_Pack.png/revision/latest/scale-to-width-down/1200?cb=20260516172636,
BMW M5 CS 2022,150000,RARE,1,https://static.wikia.nocookie.net/forzamotorsport/images/b/b9/FH6_BMW_M5_CS.png/revision/latest/scale-to-width-down/1200?cb=20260516172646,
DeBerti Jeep Wrangler Unlimited 2018,150000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/9/94/FH6_DeBerti_Wrangler_Unlimited.png/revision/latest/scale-to-width-down/1200?cb=20260516173047,
Ford #14 Rahal Letterman Lanigan Racing GRC Fiesta 2017,150000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/a/af/FH6_Ford_14_Rahal_Letterman_Lanigan_Racing_GRC_Fiesta.png/revision/latest/scale-to-width-down/1200?cb=20260516173918,
Formula Drift #34 Toyota Supra MkIV 1995,150000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/b/b2/FH6_Formula_Drift_34_Toyota_Supra_MkIV.png/revision/latest/scale-to-width-down/1200?cb=20260516174011,
Formula Drift #411 Toyota Corolla Hatchback 2019,150000,EPIC,1,https://static.wikia.nocookie.net/forzamotorsport/images/3/33/FH6_Formula_Drift_411_Toyota_Corolla_Hatchback.png/revision/latest/scale-to-width-down/1200?cb=20260516174729,
