name,value,rarity,weight,image,desc
Abarth 595 esseesse 1968,25000,COMMON,80,https://static.wikia.nocookie.net/forzamotorsport/images/e/e1/FH6_Abarth_595_esseesse.png/revision/latest/scale-to-width-down/1200?cb=20260516171717,
Abarth 695 Biposto 2016,250000,COMMON,5,https://static.wikia.nocookie.net/forzamotorsport/images/5/5a/FH6_Abarth_695_Biposto.png/revision/latest/scale-to-width-down/1200?cb=20260516171719,
Abarth Fiat 131 1980,125000,COMMON,10,https://static.wikia.nocookie.net/forzamotorsport/images/3/33/FH6_Abarth_Fiat_131.png/revision/latest/scale-to-width-down/1200?cb=20260516171720,
Acura Integra Type R 2001,25000,COMMON,80,https://static.wikia.nocookie.net/forzamotorsport/images/4/40/FH6_Acura_Integra_Type-R.png/revision/latest/scale-to-width-down/1200?cb=20260516171721,
Acura RSX Type S 2002,18000,COMMON,85,https://static.wikia.nocookie.net/forzamotorsport/images/d/d9/FH6_Acura_RSX_Type-S.png/revision/latest/scale-to-width-down/1200?cb=20260516171723,
Audi RS 3 Sportback 2011,20000,COMMON,85,https://static.wikia.nocookie.net/forzamotorsport/images/c/ce/FH6_Audi_RS_3_Sportback.png/revision/latest/scale-to-width-down/1200?cb=20260516171801,
Audi RS 4 Avant 2001,175000,COMMON,10,https://static.wikia.nocookie.net/forzamotorsport/images/a/a2/FH6_Audi_RS_4_Avant_2001.png/revision/latest/scale-to-width-down/1200?cb=20260516171803,
Audi S1 2015,21000,COMMON,80,https://static.wikia.nocookie.net/forzamotorsport/images/b/bf/FH6_Audi_S1.png/revision/latest/scale-to-width-down/1200?cb=20260516172610,
Austin-Healey 3000,75000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/c/c7/FH6_Austin-Healey_3000_MkIII.png/revision/latest/scale-to-width-down/1200?cb=20260516171819,
BMW Isetta 300 Export 1957,84000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/0/0b/FH6_BMW_Isetta_300_Export.png/revision/latest/scale-to-width-down/1200?cb=20260516172619,
BMW M3 1997,30000,COMMON,80,https://static.wikia.nocookie.net/forzamotorsport/images/5/55/FH6_BMW_M3_1997.png/revision/latest/scale-to-width-down/1200?cb=20260516172628,
BMW M3 2005,35000,COMMON,75,https://static.wikia.nocookie.net/forzamotorsport/images/a/a2/FH6_BMW_M3_2005.png/revision/latest/scale-to-width-down/1200?cb=20260516172632,
BMW M3 2008,43000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/b/bd/FH6_BMW_M3_2008.png/revision/latest/scale-to-width-down/1200?cb=20260516172633,
BMW M5 2003,47000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/a/a8/FH6_BMW_M5_2003.png/revision/latest/scale-to-width-down/1200?cb=20260516172643,
BMW X5 M 2011,24000,COMMON,80,https://static.wikia.nocookie.net/forzamotorsport/images/3/3c/FH6_BMW_X5_M.png/revision/latest/scale-to-width-down/1200?cb=20260516172652,
BMW Z4 Roadster 2019,38000,COMMON,75,https://static.wikia.nocookie.net/forzamotorsport/images/b/b0/FH6_BMW_Z4_Roadster.png/revision/latest/scale-to-width-down/1200?cb=20260516172654,
Cadillac ATS-V 2016,41000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/3/33/FH6_Cadillac_ATS-V.png/revision/latest/scale-to-width-down/1200?cb=20260516172656,
Cadillac CTS-V Sedan 2016,60000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/4/4f/FH6_Cadillac_CTS-V_Sedan.png/revision/latest/scale-to-width-down/1200?cb=20260516173002,
Can-Am Maverick X RS Turbo R 2018,16000,COMMON,85,https://static.wikia.nocookie.net/forzamotorsport/images/f/ff/FH6_Can_Am_Maverick_X_RS_Turbo_R.png/revision/latest/scale-to-width-down/1200?cb=20260516173004,
Chevrolet 150 Utility Sedan 1955,140000,COMMON,10,https://static.wikia.nocookie.net/forzamotorsport/images/6/67/FH6_Chevrolet_Corvette_Z06_2002.png/revision/latest/scale-to-width-down/1200?cb=20260516172721,
Chevrolet Corvette Z06 2002,33000,COMMON,75,https://static.wikia.nocookie.net/forzamotorsport/images/6/67/FH6_Chevrolet_Corvette_Z06_2002.png/revision/latest/scale-to-width-down/1200?cb=20260516172721,
Chevrolet Corvette ZR-1 1995,76000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/0/0e/FH6_Chevrolet_Corvette_ZR-1_1995.png/revision/latest/scale-to-width-down/1200?cb=20260516172725,
Chevrolet Impala Super Sport 1996,30000,COMMON,75,https://static.wikia.nocookie.net/forzamotorsport/images/b/b2/FH6_Chevrolet_Impala_Super_Sport.png/revision/latest/scale-to-width-down/1200?cb=20260516173032,
Chevrolet Impala Super Sport 409 1964,70000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/7/75/FH6_Chevrolet_Impala_Super_Sport_409.png/revision/latest/scale-to-width-down/1200?cb=20260516172730,
Chevrolet K-10 Custom 1972,49000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/c/c0/FH6_Chevrolet_K-10_Custom.png/revision/latest/scale-to-width-down/1200?cb=20260516173034,
Chevrolet Monte Carlo Super Sport 1988,30000,COMMON,75,https://static.wikia.nocookie.net/forzamotorsport/images/5/5e/FH6_Chevrolet_Monte_Carlo_Super_Sport.png/revision/latest/scale-to-width-down/1200?cb=20260516173035,
Chevrolet Nova Super Sport 396 1969,40000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/f/f0/FH6_Chevrolet_Nova_Super_Sport_396.png/revision/latest/scale-to-width-down/1200?cb=20260516173036,
Datsun 2000,250000,COMMON,5,https://static.wikia.nocookie.net/forzamotorsport/images/e/e9/FH6_Datsun_2000_Roadster.png/revision/latest/scale-to-width-down/1200?cb=20260516173042,
Datsun 510 1970,86000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/3/33/FH6_Datsun_510.png/revision/latest/scale-to-width-down/1200?cb=20260516173040,
DeBerti Toyota Tacoma TRD 'The Performance Truck' 2019,250000,COMMON,5,https://static.wikia.nocookie.net/forzamotorsport/images/b/b1/FH6_DeBerti_Toyota_Tacoma_TRD_The_Performance_Truck.png/revision/latest/scale-to-width-down/1200?cb=20260516173046,
Dodge Ram SRT-10 2006,250000,COMMON,5,https://static.wikia.nocookie.net/forzamotorsport/images/7/78/FH6_Dodge_Ram_SRT-10.png/revision/latest/scale-to-width-down/1200?cb=20260516173323,
Ford Crown Victoria Police Interceptor 2010,15000,COMMON,85,https://static.wikia.nocookie.net/forzamotorsport/images/2/26/FH6_Ford_Crown_Victoria_Police_Interceptor.png/revision/latest/scale-to-width-down/1200?cb=20260516173924,
Ford De Luxe Five-Window Coupe 1932,36000,COMMON,75,https://static.wikia.nocookie.net/forzamotorsport/images/0/0f/FH6_Ford_De_Luxe_Five-Window_Coupe.png/revision/latest/scale-to-width-down/1200?cb=20260516173926,
Ford F-150 SVT Lightning 2003,250000,COMMON,5,https://static.wikia.nocookie.net/forzamotorsport/images/9/98/FH6_Ford_F-150_SVT_Lightning.png/revision/latest/scale-to-width-down/1200?cb=20260516173931,
Ford F-150 XLT Lariat 1986,45000,COMMON,70,https://static.wikia.nocookie.net/forzamotorsport/images/b/b0/FH6_Ford_F-150_XLT_Lariat.png/revision/latest/scale-to-width-down/1200?cb=20260516173934,
Ford Fiesta ST 2023,26000,COMMON,80,https://static.wikia.nocookie.net/forzamotorsport/images/a/a3/FH6_Ford_Fiesta_ST_2023.png/revision/latest/scale-to-width-down/1200?cb=20260516173939,
Ford Focus RS 2003,35000,COMMON,75,https://static.wikia.nocookie.net/forzamotorsport/images/a/a1/FH6_Ford_Focus_RS_2003.png/revision/latest/scale-to-width-down/1200?cb=20260516173940,
Ford Focus ST 2022,34000,COMMON,75,https://static.wikia.nocookie.net/forzamotorsport/images/0/0c/FH6_Ford_Focus_ST.png/revision/latest/scale-to-width-down/1200?cb=20260516173944,
