name,value,rarity,weight,image,desc
Porsche 911 Carrera RS 1973,1050000,LEGENDARY,,,
Nissan NISMO GT-R LM 1995,1100000,LEGENDARY,,,
Porsche 911 GT2 1995,1100000,EPIC,,,
Aston Martin Valhalla Concept Car 2019,1150000,LEGENDARY,,,
Alfa Romeo Giulia TZ2 1965,1200000,LEGENDARY,,https://static.wikia.nocookie.net/forzamotorsport/images/3/3e/FH6_Alfa_Romeo_Giulia_TZ2.png/revision/latest/scale-to-width-down/1200?cb=20260516171731,
Lamborghini Aventador SVJ 2018,1200000,LEGENDARY,,,
Zenvo TSR-S 2019,1200000,LEGENDARY,,,
Mazda #55 Mazda 787B 1991,1220000,BARN FIND,,,
Lexus LFA Forza Edition 2010,1250000,FORZA EDITION,,,
Porsche #3 917 LH Forza Edition 1970,1250000,FORZA EDITION,,,
Ferrari 250 GT Berlinetta Lusso 1962,1400000,LEGENDARY,,,
Hennessey Venom GT 2012,1400000,LEGENDARY,,,
Lamborghini Essenza SCV12 2020,1500000,LEGENDARY,,,
Lotus Elise GT1 1997,1500000,LEGENDARY,,,
Nissan #12 Skyline GT-R (BNR32 Gr.A) JTC 1990,1500000,LEGENDARY,,,
Porsche #185 959 Prodrive Rally Raid 1986,1500000,LEGENDARY,,,
McLaren P1 2013,1550000,LEGENDARY,,,
Porsche #70 Porsche Motorsport 935 2019,1600000,LEGENDARY,,,
Lamborghini Miura P400 1967,1700000,LEGENDARY,,,
Mercedes-Benz 300 SL Coupé 1954,1700000,LEGENDARY,,,
Lamborghini Centenario LP 770-4 2016,1750000,LEGENDARY,,,
Porsche Carrera GT 2003,1800000,EPIC,,,
Porsche 959 1987,1875000,TREASURE,,,
Koenigsegg Agera 2011,1950000,LEGENDARY,,,
Schuppan 962CR 1993,1950000,EPIC,,,
Ferrari 599XX 2010,2000000,LEGENDARY,,,
Ferrari F40 1987,2000000,LEGENDARY,,,
Ford Supervan 4 2022,2000000,EPIC,,,
Koenigsegg Gemera 2024,2000000,EPIC,,,
McLaren Speedtail 2019,2000000,LEGENDARY,,,
Hennessey Venom F5 2021,2050000,LEGENDARY,,,
Lamborghini Countach LPI 800-4 2021,2100000,LEGENDARY,,,
Rimac Nevera 2021,2250000,LEGENDARY,,,
Aston Martin Vulcan 2016,2300000,LEGENDARY,,,
Porsche 918 Spyder 2014,2300000,LEGENDARY,,,
Lotus Evija 2020,2450000,LEGENDARY,,,
Ferrari Monza SP2 2019,2500000,LEGENDARY,,,
Ferrari J50 2017,2500000,RARE,,,
Ferrari FXX 2005,2500000,LEGENDARY,,,
Lamborghini Sián Roadster 2020,2500000,LEGENDARY,,,
Lamborghini Sesto Elemento 2011,2500000,LEGENDARY,,,
Koenigsegg Regera 2016,2550000,LEGENDARY,,,
Aston Martin Valkyrie 2023,2750000,LEGENDARY,,Loading...,
Pagani Huayra R 2021,2750000,LEGENDARY,,,
Ferrari 288 GTO 1984,2800000,LEGENDARY,,,
Mercedes-AMG Mercedes-AMG ONE 2021,2800000,LEGENDARY,,,
Koenigsegg Agera RS 2017,2900000,LEGENDARY,,,
Aston Martin Vulcan AMR Pro 2017,3000000,LEGENDARY,,,
Ferrari LaFerrari 2013,3000000,LEGENDARY,,,
Shelby Cobra 427 S/C 1965,3000000,LEGENDARY,,,
Gordon Murray Automotive T.50 2022,3050000,LEGENDARY,,,
Maserati MC12 Versione Corsa 2008,3100000,LEGENDARY,,,
Apollo Intensa Emozione 2019,3200000,LEGENDARY,,https://static.wikia.nocookie.net/forzamotorsport/images/f/f3/FH6_Apollo_Intensa_Emozione.png/revision/latest/scale-to-width-down/1200?cb=20260516171738,
Ferrari 599XX Evolution 2012,3200000,LEGENDARY,,,
Ferrari F40 Competizione 1989,3200000,LEGENDARY,,,
Jaguar C-X75 2010,3200000,LEGENDARY,,,
Koenigsegg CCGT 2008,3400000,LEGENDARY,,,
McLaren Sabre 2021,3400000,EPIC,,,
Alfa Romeo 33 Stradale 1968,3500000,LEGENDARY,,https://static.wikia.nocookie.net/forzamotorsport/images/2/2c/FH6_Alfa_Romeo_33_Stradale.png/revision/latest/scale-to-width-down/1200?cb=20260516171727,
Ferrari Enzo Ferrari 2002,3500000,LEGENDARY,,,
Koenigsegg Jesko 2020,3500000,LEGENDARY,,,
Ferrari 512 S 1970,3600000,LEGENDARY,,,
Mercedes-Benz AMG CLK GTR 1998,3600000,LEGENDARY,,,
Pagani Huayra BC Coupe 2016,3600000,LEGENDARY,,,
Koenigsegg One:1 2015,3750000,LEGENDARY,,,
Maserati MC12 2004,3750000,EPIC,,,
Lamborghini Veneno 2013,3950000,LEGENDARY,,,
Pagani Zonda Cinque Roadster 2010,4000000,LEGENDARY,,,
Porsche 911 GT1 Strassenversion 1997,4000000,LEGENDARY,,,
Aston Martin Valkyrie AMR Pro 2022,4200000,LEGENDARY,,,
Ferrari FXX K 2014,4300000,LEGENDARY,,,
Jaguar D-Type 1956,4300000,LEGENDARY,,,
Ferrari FXX-K Evo 2018,4500000,LEGENDARY,,,
Ferrari F50 1995,4500000,LEGENDARY,,,
Pagani Zonda R 2009,4750000,LEGENDARY,,,
McLaren F1 1993,5000000,LEGENDARY,,,
Porsche Mission R 2022,5000000,LEGENDARY,,,
Ferrari F50 GT 1996,5500000,LEGENDARY,,,
McLaren F1 GT 1997,5500000,LEGENDARY,,,
Jaguar Lightweight E-Type 1964,7900000,LEGENDARY,,,
