name,value,rarity,weight,image,desc
Wuling Sunshine S 2013,2000,RARE,20,https://static.wikia.nocookie.net/forzamotorsport/images/b/b8/FH6_Abarth_124_Spider.png/revision/latest?cb=20260713205812,
Wuling Hongguang Mini EV 2022,5000,RARE,20,https://static.wikia.nocookie.net/forzamotorsport/images/5/5a/FH6_Abarth_695_Biposto.png/revision/latest/scale-to-width-down/1200?cb=20260516171719,
Toyota Sera 1991,11000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/8/8f/FH6_Alfa_Romeo_Giulia_GTAm.png/revision/latest?cb=20260713205813,
Toyota Celica Sport Specialty II 2003,12000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/e/eb/FH6_Toyota_Celica_Sport_Specialty_II.png/revision/latest/scale-to-width-down/1200?cb=20260516181454,
Honda Beat 1991,15000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/b/bd/FH6_Honda_Beat.png/revision/latest/scale-to-width-down/1200?cb=20260511233213,
Nissan Gloria Gran Turismo 1995,15000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/c/c1/FH6_Nissan_Gloria_Gran_Turismo.png/revision/latest/scale-to-width-down/1200?cb=20260511230133,
Volkswagen Scirocco R 2011,15000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/2/2c/FH6_Volkswagen_Scirocco_R.png/revision/latest?cb=20260516181634,
Toyota Chaser 2.5 Tourer V 1997,15500,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/0/03/FH6_Toyota_Chaser_2.5_Tourer_V.png/revision/latest/scale-to-width-down/1200?cb=20260516181433,
Toyota 86 2013,15800,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/9/9b/FH6_Toyota_86.png/revision/latest?cb=20260516181426,
Toyota Soarer 2.5 GT-T 1997,18000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/b/bc/FH6_Toyota_Soarer_2.5_GT-T.png/revision/latest?cb=20260516181453,
Nissan S-Cargo 1989,19000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/e/e8/FH6_Nissan_S-Cargo.png/revision/latest/scale-to-width-down/1200?cb=20260516180638,
Chevrolet Camaro Z28 1979,20000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/a/a8/FH6_Chevrolet_Camaro_Z28_1979.png/revision/latest/scale-to-width-down/1200?cb=20260516172709,
Honda Civic Type R 2008,20000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/b/b7/FH6_Honda_Civic_Type_R_2008.png/revision/latest?cb=20260516174757,
Toyota Chaser GT Twin Turbo 1991,20000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/5/59/FH6_Toyota_Chaser_GT_Twin_Turbo.png/revision/latest?cb=20260516181434,
Volkswagen Golf R 2010,20000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/f/fe/FH6_Volkswagen_Golf_R_2010.png/revision/latest/scale-to-width-down/1200?cb=20260516181627,
Hyundai IONIQ 5 N 2023,22000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/5/56/FH6_Hyundai_IONIQ_5_N.png/revision/latest/scale-to-width-down/1200?cb=20260516174817,
Peugeot 205 Rallye 1991,22000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/3/39/FH6_Peugeot_205_Rallye.png/revision/latest/scale-to-width-down/1200?cb=20260516180827,
Audi RS 5 Coupé 2011,25000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/1/15/FH6_Audi_RS_5_Coupe_2011.png/revision/latest/scale-to-width-down/1200?cb=20260516172217,
Mercedes-Benz A 45 AMG 2013,25000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/a/a8/FH6_Mercedes-Benz_A_45_AMG.png/revision/latest/scale-to-width-down/1200?cb=20260516175608,
Mitsubishi Galant VR-4 1992,25000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/9/96/FH6_Mitsubishi_Galant_VR-4.png/revision/latest/scale-to-width-down/1200?cb=20260516180405,
Mitsubishi Lancer Evolution X GSR 2008,25000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/7/77/FH6_Mitsubishi_Lancer_Evolution_X_GSR.png/revision/latest/scale-to-width-down/1200?cb=20260516180413,
Mitsubishi Montero Exceed 2800,25000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/2/26/FH6_Mitsubishi_Montero_Exceed_2800_TD.png/revision/latest/scale-to-width-down/1200?cb=20260516180416,
Subaru IMPREZA WRX STI 2008,27000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/3/3a/FH6_Subaru_Impreza_WRX_STI_2008.png/revision/latest/scale-to-width-down/1200?cb=20260516181206,
Subaru WRX STI 2011,27000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/a/a9/FH6_Subaru_WRX_STI_2011.png/revision/latest?cb=20260516181212,
Nissan Pulsar GTI-R 1990,28000,RARE,30,https://static.wikia.nocookie.net/forzamotorsport/images/6/6e/FH6_Nissan_Pulsar_GTI-R.png/revision/latest?cb=20260516180633,
