Player,Team,Tournament,Role,attRTG,defRTG,roleRTG
MaKo,KRX,Vct 2026 Pacific Stage 1,Controller,91,89,90
Karon,GEN,Vct 2026 Pacific Stage 2,Controller,90,90,90
invy,PRX,Vct 2026 Pacific Stage 1,Initiator,90,89,89
something,PRX,Vct 2026 Pacific Stage 1,Duelist,87,92,89
Munchkin,T1,Vct 2026 Pacific Kickoff,Controller,91,88,89
Boo,TH,Vct 2026 Emea Stage 1,Controller,90,88,89
v1c,C9,Vct 2026 Americas Stage 2,Controller,88,89,89
f0rsakeN,PRX,Vct 2026 Pacific Stage 1,Controller,88,89,89
Lysoar,XLG,Vct 2026 China Stage 1,Controller,91,87,89
marteen,M8,Vct 2026 Emea Stage 2,Duelist,93,85,89
trent,G2,Vct 2026 Americas Stage 1,Initiator,87,90,89
valyn,G2,Vct 2026 Americas Stage 1,Controller,90,88,89
Sayonara,VIT,Vct 2026 Emea Stage 2,Initiator,89,88,89
XuNa,VL,Vct 2026 Pacific Stage 2,Initiator,87,91,89
vo0kashu,DRG,Vct 2026 China Stage 1,Sentinel,89,87,88
blowz,LEV,Valorant Masters London 2026,Initiator,89,87,88
Loita,BBL,Vct 2026 Emea Stage 2,Controller,91,86,88
sociablEE,FUT,Valorant Masters London 2026,Controller,87,89,88
trent,G2,Vct 2026 Americas Stage 2,Initiator,86,90,88
f0rsakeN,PRX,Vct 2026 Pacific Kickoff,Controller,88,88,88
f0rsakeN,PRX,Valorant Masters Santiago 2026,Controller,89,87,88
WsLeo,XLG,Vct 2026 China Stage 1,Initiator,92,84,88
Avez,KC,Vct 2026 Emea Stage 2,Initiator,88,88,88
MaKo,KRX,Vct 2026 Pacific Kickoff,Controller,90,86,88
Mazino,MIBR,Vct 2026 Americas Stage 2,Controller,87,89,88
PROFEK,VIT,Vct 2026 Emea Stage 2,Controller,86,89,88
happywei,XLG,Vct 2026 China Kickoff,Controller,87,89,88
Verno,MIBR,Vct 2026 Americas Stage 2,Initiator,89,86,88
blowz,LEV,Vct 2026 Americas Stage 1,Initiator,88,86,87
Monyet,RRQ,Vct 2026 Pacific Stage 2,Controller,83,91,87
bang,100T,Vct 2026 Americas Kickoff,Controller,87,87,87
primmie,FS,Vct 2026 Pacific Stage 1,Duelist,90,85,87
kiNgg,LEV,Vct 2026 Americas Stage 2,Controller,90,85,87
dos9,KC,Vct 2026 Emea Stage 2,Controller,85,90,87
RieNs,TH,Vct 2026 Emea Stage 1,Initiator,89,86,87
LewN,KC,Vct 2026 Emea Stage 2,Duelist,86,88,87
Nicc,DRG,Vct 2026 China Stage 2,Initiator,92,83,87
PROFEK,VIT,Valorant Masters London 2026,Controller,89,84,87
Lysoar,XLG,Valorant Masters London 2026,Controller,88,86,87
xavi8k,GE,Vct 2026 Pacific Kickoff,Controller,85,89,87
lovers rock,BBL,Vct 2026 Emea Stage 2,Duelist,86,87,87
vo0kashu,DRG,Vct 2026 China Stage 2,Sentinel,87,86,87
valyn,G2,Valorant Masters Santiago 2026,Controller,85,89,87
sociablEE,FUT,Vct 2026 Emea Stage 1,Controller,85,88,86
Akame,DFM,Vct 2026 Pacific Stage 2,Initiator,85,88,86
trexx,TL,Vct 2026 Emea Stage 2,Initiator,86,86,86
skuba,NRG,Valorant Masters Santiago 2026,Controller,88,85,86
vora,100T,Vct 2026 Americas Kickoff,Initiator,88,84,86
kiNgg,LEV,Valorant Masters London 2026,Controller,84,88,86
Verse,DRG,Vct 2026 China Stage 2,Controller,89,84,86
BABYBAY,G2,Vct 2026 Americas Stage 1,Sentinel,86,86,86
Alfajer,FNC,Vct 2026 Emea Kickoff,Sentinel,86,87,86
Asuna,100T,Vct 2026 Americas Stage 2,Duelist,86,86,86
t3xture,GEN,Vct 2026 Pacific Stage 2,Sentinel,91,82,86
invy,PRX,Valorant Masters Santiago 2026,Initiator,86,86,86
sociablEE,FUT,Vct 2026 Emea Stage 2,Controller,87,85,86
vo0kashu,DRG,Vct 2026 China Kickoff,Sentinel,86,86,86
valyn,G2,Vct 2026 Americas Stage 2,Controller,85,87,86
Munchkin,T1,Vct 2026 Pacific Stage 1,Controller,86,86,86
bang,100T,Vct 2026 Americas Stage 1,Controller,87,84,86
Sato,LEV,Valorant Masters London 2026,Duelist,85,87,86
invy,PRX,Vct 2026 Pacific Kickoff,Initiator,84,87,86
Killua,FS,Vct 2026 Pacific Stage 1,Initiator,86,86,86
Jinggg,PRX,Vct 2026 Pacific Stage 1,Duelist,84,88,86
Rb,NS,Vct 2026 Pacific Stage 2,Controller,86,85,86
